Measure,Year,TravelType,Reason,UNIT,Value
Number of Trips by Irish Residents,2014,Domestic,Business,Thousand,453.0
Number of Trips by Irish Residents,2014,Domestic,Visiting friends/relatives,Thousand,2918.0
Number of Trips by Irish Residents,2014,Domestic,Education and training,Thousand,128.0
Number of Trips by Irish Residents,2014,Domestic,Work/looking for work,Thousand,101.0
Number of Trips by Irish Residents,2014,Domestic,Sporting events,Thousand,396.0
Number of Trips by Irish Residents,2014,Domestic,Other reasons,Thousand,559.0
Number of Trips by Irish Residents,2014,Outbound,All reasons for journey,Thousand,6677.0
Number of Trips by Irish Residents,2014,Outbound,Holiday,Thousand,3675.0
Number of Trips by Irish Residents,2014,Outbound,Business,Thousand,729.0
Number of Trips by Irish Residents,2014,Outbound,Visiting friends/relatives,Thousand,1620.0
Number of Trips by Irish Residents,2014,Outbound,Education and training,Thousand,85.0
Number of Trips by Irish Residents,2014,Outbound,Work/looking for work,Thousand,115.0
Number of Trips by Irish Residents,2014,Outbound,Sporting events,Thousand,255.0
Number of Trips by Irish Residents,2014,Outbound,Other reasons,Thousand,198.0
Number of Trips by Irish Residents,2015,Domestic,All reasons for journey,Thousand,9125.0
Number of Trips by Irish Residents,2015,Domestic,Holiday,Thousand,4658.0
Number of Trips by Irish Residents,2015,Domestic,Business,Thousand,407.0
Number of Trips by Irish Residents,2015,Domestic,Visiting friends/relatives,Thousand,2921.0
Number of Trips by Irish Residents,2015,Domestic,Education and training,Thousand,167.0
Number of Trips by Irish Residents,2015,Domestic,Work/looking for work,Thousand,80.0
Number of Trips by Irish Residents,2015,Domestic,Sporting events,Thousand,331.0
Number of Trips by Irish Residents,2015,Domestic,Other reasons,Thousand,559.0
Number of Trips by Irish Residents,2015,Outbound,All reasons for journey,Thousand,7094.0
Number of Trips by Irish Residents,2015,Outbound,Holiday,Thousand,4219.0
Number of Trips by Irish Residents,2015,Outbound,Business,Thousand,767.0
Number of Trips by Irish Residents,2015,Outbound,Visiting friends/relatives,Thousand,1430.0
Number of Trips by Irish Residents,2015,Outbound,Education and training,Thousand,88.0
Number of Trips by Irish Residents,2015,Outbound,Work/looking for work,Thousand,104.0
Number of Trips by Irish Residents,2015,Outbound,Sporting events,Thousand,291.0
Number of Trips by Irish Residents,2015,Outbound,Other reasons,Thousand,194.0
Number of Trips by Irish Residents,2016,Domestic,All reasons for journey,Thousand,9359.0
Number of Trips by Irish Residents,2016,Domestic,Holiday,Thousand,4870.0
Number of Trips by Irish Residents,2016,Domestic,Business,Thousand,431.0
Number of Trips by Irish Residents,2016,Domestic,Visiting friends/relatives,Thousand,3045.0
Number of Trips by Irish Residents,2016,Domestic,Education and training,Thousand,157.0
Number of Trips by Irish Residents,2016,Domestic,Work/looking for work,Thousand,84.0
Number of Trips by Irish Residents,2016,Domestic,Sporting events,Thousand,296.0
Number of Trips by Irish Residents,2016,Domestic,Other reasons,Thousand,477.0
Number of Trips by Irish Residents,2016,Outbound,All reasons for journey,Thousand,7644.0
Number of Trips by Irish Residents,2016,Outbound,Holiday,Thousand,4244.0
Number of Trips by Irish Residents,2016,Outbound,Business,Thousand,897.0
Number of Trips by Irish Residents,2016,Outbound,Visiting friends/relatives,Thousand,1747.0
Number of Trips by Irish Residents,2016,Outbound,Education and training,Thousand,100.0
Number of Trips by Irish Residents,2016,Outbound,Work/looking for work,Thousand,107.0
Number of Trips by Irish Residents,2016,Outbound,Sporting events,Thousand,264.0
Number of Trips by Irish Residents,2016,Outbound,Other reasons,Thousand,285.0
Number of Trips by Irish Residents,2017,Domestic,All reasons for journey,Thousand,9626.0
Number of Trips by Irish Residents,2017,Domestic,Holiday,Thousand,4886.0
Number of Trips by Irish Residents,2017,Domestic,Business,Thousand,426.0
Number of Trips by Irish Residents,2017,Domestic,Visiting friends/relatives,Thousand,3096.0
Number of Trips by Irish Residents,2017,Domestic,Education and training,Thousand,218.0
Number of Trips by Irish Residents,2017,Domestic,Work/looking for work,Thousand,68.0
Number of Trips by Irish Residents,2017,Domestic,Sporting events,Thousand,335.0
Number of Trips by Irish Residents,2017,Domestic,Other reasons,Thousand,598.0
Number of Trips by Irish Residents,2017,Outbound,All reasons for journey,Thousand,8171.0
Number of Trips by Irish Residents,2017,Outbound,Holiday,Thousand,4912.0
Number of Trips by Irish Residents,2017,Outbound,Business,Thousand,753.0
Number of Trips by Irish Residents,2017,Outbound,Visiting friends/relatives,Thousand,1730.0
Number of Trips by Irish Residents,2017,Outbound,Education and training,Thousand,113.0
Number of Trips by Irish Residents,2017,Outbound,Work/looking for work,Thousand,111.0
Number of Trips by Irish Residents,2017,Outbound,Sporting events,Thousand,288.0
Number of Trips by Irish Residents,2017,Outbound,Other reasons,Thousand,263.0
Number of Trips by Irish Residents,2018,Domestic,All reasons for journey,Thousand,10919.0
Number of Trips by Irish Residents,2018,Domestic,Holiday,Thousand,5323.0
Number of Trips by Irish Residents,2018,Domestic,Business,Thousand,473.0
Number of Trips by Irish Residents,2018,Domestic,Visiting friends/relatives,Thousand,3759.0
Number of Trips by Irish Residents,2018,Domestic,Education and training,Thousand,183.0
Number of Trips by Irish Residents,2018,Domestic,Work/looking for work,Thousand,130.0
Number of Trips by Irish Residents,2018,Domestic,Sporting events,Thousand,387.0
Number of Trips by Irish Residents,2018,Domestic,Other reasons,Thousand,664.0
Number of Trips by Irish Residents,2018,Outbound,All reasons for journey,Thousand,8643.0
Number of Trips by Irish Residents,2018,Outbound,Holiday,Thousand,5155.0
